memberId	residentialState	branch	annualIncome	yearsEmployment	homeOwnership	incomeVerified	creditScore	dtiRatio	revolvingBalance	revolvingUtilizationRate	numDelinquency2Years	numDerogatoryRec	numInquiries6Mon	lengthCreditHistory	numOpenCreditLines	numTotalCreditLines	numChargeoff1year
101335	WA	Seattle	91252.2516	1 year	own	1	717	32.01028153	145465.2287	63.13642843	0	0	9	19	12	14	0
101355	GA	Atlanta	80428.32692	10+ years	rent	1	786	20.02270516	113576.5883	72.59257238	0	0	0	5	6	8	0
101356	PA	Pittsburgh	79951.01122	2-5 years	rent	1	854	24.98808826	81348.63324	35.56342459	0	4	2	23	6	8	0
101360	MD	Frederick	41870.52817	10+ years	own	1	783	26.35825666	87626.05053	48.59506652	0	0	0	14	8	9	0
101362	TX	Dallas	96036.94484	10+ years	mortgage	1	687	29.88308443	179071.789	43.1405241	0	0	2	2	5	7	0
101373	CO	Colorado Springs	125536.4733	10+ years	mortgage	1	723	27.4515499	143102.2259	77.43267427	0	0	0	13	11	17	0
101375	FL	Jacksonville	95373.17142	6-9 years	mortgage	1	739	25.0220877	106613.8845	66.97704883	2	0	0	22	14	16	2
101410	DC	Washington															
101416	DC	Washington															
101422	CA	Los Angeles	80319.37162	6-9 years	rent	1	748	33.44617417	142517.0806	69.16048492	0	0	2	5	20	24	0
101425	MS	Jackson	58989.241	< 1 year	mortgage	1	758	25.05547534	150629.0139	58.81276894	0	0	5	8	9	15	0
101430	VA	Norfolk	52916.83182	< 1 year	own	1	760	11.42140457	175292.8212	38.1535851	0	2	5	9	6	7	0
101434	NM	Albuquerque	82589.45819	6-9 years	mortgage	1	737	19.95154587	79071.49769	67.12487846	0	0	0	10	11	13	0
101440	DC	Washington															
101453	NV	Reno	48389.92607	1 year	rent	1	704	37.64148657	87426.74191	50.16506953	0	0	8	21	15	16	0
101465	FL	Tampa	60204.04674	10+ years	own	1	709	27.09487209	106908.8241	68.93236946	1	0	0	3	10	16	1
101473	DC	Washington															
101475	WY	Cheyenne	124457.063	10+ years	mortgage	1	745	30.53470753	166525.7261	60.69636529	0	0	0	12	9	13	0
101478	NV	Reno	55151.52041	1 year	own	1	810	16.47079774	71589.70977	32.21899465	0	2	0	7	19	21	0
101482	NY	New York City	42624.45002	< 1 year	own	1	619	21.25131428	140499.7828	50.27994974	0	5	8	2	7	13	0
101491	IL	Chicago	84037.98035	< 1 year	rent	1	746	21.43252117	139680.8846	68.56135341	0	0	0	5	12	14	0
101495	MD	Baltimore	91440.84588	2-5 years	rent	0	628	26.33596816	114613.3935	36.76052693	3	0	1	10	16	19	2
101509	LA	New Orleans	105272.9876	2-5 years	mortgage	1	791	28.5569559	120337.8366	38.27974367	0	0	0	13	20	21	0
101514	DC	Washington															
101524	NY	New York City	106198.8046	6-9 years	rent	1	865	16.99819372	150203.9933	57.11611787	0	0	0	3	9	14	0
101526	TX	Houston	70015.53117	< 1 year	rent	1	782	31.12588574	125082.8137	60.43367901	0	0	0	29	24	28	0
101531	MO	Kansas City	66712.14869	1 year	rent	1	702	22.91322835	157065.4467	73.32236866	3	0	1	5	7	12	2
101539	FL	Jacksonville	59474.3756	10+ years	mortgage	1	626	35.57885177	127388.185	66.51717358	7	0	0	7	15	26	6
101544	TX	Houston	100593.1732	10+ years	mortgage	1	818	24.29798673	172483.6789	73.5671734	0	0	0	12	9	18	0
101547	SD	Rapid City	68741.91992	2-5 years	rent	1	849	37.67764656	130657.2865	41.00734998	0	1	3	6	10	15	0
101548	ID	Nampa	65993.22043	6-9 years	mortgage	0	760	27.5078219	100806.4303	50.35441675	0	0	0	17	6	9	0
101554	WV	Charleston	69661.90886	2-5 years	rent	1	735	20.97943907	91319.73655	49.61759198	0	0	3	15	13	15	0
101585	CA	San Jose	109789.9381	6-9 years	own	1	684	25.38445537	114620.0258	55.49194761	0	0	4	19	9	14	0
101598	MA	Worcester	81687.26647	< 1 year	rent	1	748	27.26788007	139895.2572	74.85987254	2	0	0	5	11	11	2
101609	CA	Los Angeles	94150.13617	2-5 years	own	1	829	36.89846558	194250.0697	74.07202465	0	0	0	15	10	17	0
101630	CO	Colorado Springs	83420.78173	2-5 years	rent	1	606	33.57938261	132726.3611	53.35665833	0	0	3	15	15	16	0
101642	CA	San Jose	111885.2356	6-9 years	mortgage	1	761	17.72566233	130486.2699	37.21064013	0	0	0	10	7	11	0
101657	DC	Washington															
101658	WI	Milwaukee	71664.8287	6-9 years	mortgage	1	656	29.42089818	149335.1991	61.5440069	2	0	0	3	10	15	2
101659	IA	Cedar Rapids	70979.18919	< 1 year	own	1	725	32.71742384	148198.9788	56.21929736	0	0	2	4	14	15	0
101663	ME	Portland	47036.81905	2-5 years	rent	0	676	16.15926839	100057.1256	51.76506705	0	7	1	2	12	12	0
101667	MA	Worcester	78403.52194	10+ years	rent	1	664	24.56852824	118949.6503	33.4264785	11	0	0	7	21	22	6
101685	WA	Tacoma	76216.34346	< 1 year	rent	0	651	31.28712559	93585.65748	53.67171617	1	0	0	2	5	8	1
101719	OK	Oklahoma City	47807.80061	2-5 years	rent	1	675	27.09723914	98262.96427	43.32396684	3	0	0	5	10	17	2
101725	WY	Cheyenne	47815.03504	1 year	mortgage	0	672	24.49306632	139842.6749	30.44350865	0	1	2	20	13	14	0
101729	MI	Grand Rapids	62375.17593	< 1 year	mortgage	0	771	22.89085474	125697.5729	73.20150207	0	0	1	2	11	18	0
101748	ID	Boise	28829.47816	1 year	own	0	671	25.30739576	76774.05691	49.08615679	0	0	1	13	21	23	0
101782	FL	Miami	96462.93661	6-9 years	rent	0	594	27.95447134	138086.9616	36.3160128	0	1	2	6	15	17	0
101784	NV	Las Vegas	77510.17146	2-5 years	mortgage	1	675	29.98081935	119345.8861	37.6336986	0	0	0	4	15	15	0
101785	NY	Buffalo	111052.5509	1 year	own	1	746	36.00552383	213042.7242	74.19132427	0	0	16	10	15	18	0
101792	SC	North Charleston	54275.64969	< 1 year	rent	1	632	34.06708457	168040.1148	80.59834214	0	0	3	25	7	10	0
101795	WA	Spokane	79295.31579	6-9 years	rent	0	688	29.5678252	213672.9279	37.34431709	0	0	0	25	9	10	0
101808	WY	Casper	63578.1644	2-5 years	own	1	691	22.96227067	98908.60133	51.74683754	0	0	0	8	6	11	0
101810	NH	Manchester	74647.75985	2-5 years	mortgage	0	727	19.86608154	104263.472	68.83094682	2	0	0	10	13	14	2
101819	AR	Little Rock	54462.41429	< 1 year	own	1	760	31.80927113	142277.9496	67.00502951	0	0	6	15	9	14	0
101826	SC	North Charleston	106803.2179	10+ years	mortgage	1	815	19.9897819	139959.9037	70.71243935	0	0	0	4	10	15	0
101830	SC	Columbia	59703.60661	1 year	mortgage	1	691	24.65355286	120503.1213	64.32620796	0	0	1	8	6	12	0
101843	NV	Reno	126592.6963	10+ years	mortgage	1	904	28.04093219	159096.5537	35.30343333	0	1	0	5	9	16	0
101846	MA	Worcester	70145.96859	10+ years	own	0	698	20.61697624	144374.7017	41.19726819	0	3	0	12	9	14	0
101860	MT	Billings	79426.53864	< 1 year	mortgage	1	681	20.65168217	176288.6737	55.87827828	0	0	0	30	16	19	0
101875	LA	Shreveport	95647.44285	2-5 years	own	1	641	32.88242322	71197.53508	52.73450664	0	1	1	3	16	17	0
101877	NJ	Jersey City	70720.17678	10+ years	own	0	596	23.47234339	127082.0331	60.06083975	6	0	9	20	9	13	4
101882	TX	Houston	91105.43231	< 1 year	mortgage	1	743	23.8450916	106750.9697	37.69021664	0	0	0	9	14	19	0
101885	ID	Boise	86602.00459	1 year	rent	1	763	26.13046164	146093.8831	70.95499071	0	1	0	22	8	14	0
101888	ID	Boise	74207.22246	10+ years	rent	0	771	27.74295032	133240.6274	45.01172836	0	0	0	39	15	17	0
101891	TX	San Antonio	99531.01795	6-9 years	rent	0	701	34.06183027	190808.1312	51.63731495	0	0	4	1	16	16	0
101893	SC	Columbia	85525.60362	2-5 years	mortgage	1	835	26.8296891	137415.9107	34.21198982	0	1	4	7	7	12	0
101900	MS	Jackson	94297.80766	2-5 years	rent	1	779	11.24143406	137200.5323	63.28590802	8	1	9	4	7	10	7
101910	NJ	Newark	74076.12297	1 year	mortgage	1	652	26.72988807	160495.8058	80.3933306	4	0	6	5	10	11	3
101923	SD	Sioux Falls	76491.43834	2-5 years	mortgage	1	727	21.54002681	127325.2234	49.60612261	4	0	0	6	8	14	3
101927	OH	Cleveland	75804.81173	2-5 years	mortgage	0	684	22.45370205	86617.11737	61.97691464	0	1	0	15	10	11	0
101941	AZ	Phoenix	95592.77646	< 1 year	mortgage	0	705	30.44631922	178017.1549	60.30891468	0	0	9	12	5	6	0
101943	MT	Billings	59398.07179	1 year	mortgage	0	577	27.39857761	118367.8158	52.84628816	2	0	0	21	17	21	2
101947	AL	Montgomery	114090.3228	6-9 years	rent	1	749	28.62194912	152394.045	43.34631648	0	0	0	19	10	19	0
101951	CA	San Diego	132571.2744	6-9 years	own	1	820	25.58915802	95617.92316	45.76199619	0	0	4	16	6	10	0
101966	NV	Reno	54749.50658	< 1 year	mortgage	1	644	18.16917222	120180.6244	40.03158292	0	0	1	24	9	17	0
101984	WA	Spokane	78321.49442	< 1 year	mortgage	1	686	19.00154804	180998.9319	43.33958655	3	0	5	3	7	12	2
102005	IA	Cedar Rapids	105443.1181	10+ years	own	1	755	26.37221575	91278.46357	61.35432984	0	0	0	5	21	21	0
102019	SD	Sioux Falls	82207.01324	6-9 years	rent	0	541	22.90347288	147558.1862	55.59870283	4	0	0	11	6	7	3
102020	WA	Seattle	112079.5887	2-5 years	own	1	793	33.88341468	155555.0455	34.84882153	0	4	0	8	7	12	0
102023	CA	San Diego	70727.63686	1 year	mortgage	1	683	23.68107779	165564.0468	85.27091532	0	0	0	1	10	12	0
102033	IA	Cedar Rapids	90642.40716	10+ years	own	1	839	11.51014689	117818.8806	46.89492145	0	5	4	20	12	13	0
102036	TX	Houston	81394.63788	1 year	own	0	728	23.6901989	96789.56894	47.78466139	0	0	13	3	7	11	0
102038	CO	Denver	88045.2178	6-9 years	own	0	782	17.93937433	139577.9236	67.54954231	0	0	0	16	10	17	0
102060	AL	Montgomery	98899.28714	2-5 years	mortgage	1	821	22.76580663	132238.9723	55.66059903	0	0	10	5	19	19	0
102061	CA	Los Angeles	89628.61515	6-9 years	rent	0	688	21.44838361	154581.2788	55.01975627	6	1	6	4	14	16	5
102063	WY	Casper	70892.42133	6-9 years	own	1	621	26.22634564	104443.3472	82.92959349	4	1	0	1	14	18	3
102064	OH	Columbus	101078.5608	1 year	rent	0	710	33.87416799	206676.6391	61.21653575	0	0	0	6	9	11	0
102066	RI	Providence	128713.7555	10+ years	mortgage	1	832	22.75445637	131824.3303	55.40584067	0	0	2	7	10	12	0
102068	FL	Miami	84358.58141	10+ years	rent	1	693	37.49029275	115014.337	68.47026996	0	0	6	24	11	17	0
102072	TN	Knoxville	87768.26194	1 year	own	1	849	27.13055075	175208.4429	56.7989108	0	2	4	2	12	18	0
102087	FL	Jacksonville	78375.62259	10+ years	own	0	634	41.35077264	169785.4078	36.73392206	0	0	0	9	21	22	0
102096	MS	Gulfport	100130.6463	2-5 years	mortgage	1	707	32.93414422	103039.9452	60.01848306	0	0	0	44	8	15	0
102106	MD	Baltimore	113747.1932	6-9 years	rent	1	912	27.66874746	188651.1117	53.2602725	0	0	8	18	15	17	0
102116	TN	Memphis	99931.25251	2-5 years	rent	1	694	32.70530765	139125.8081	76.47586677	0	0	0	8	17	21	0
102117	OR	Portland	62859.44799	< 1 year	rent	1	723	21.71700745	62712.78097	35.70856591	0	0	3	23	15	17	0
102121	MN	Saint Paul	77283.35495	6-9 years	mortgage	1	722	31.74922661	106565.325	41.91366855	0	0	6	16	8	14	0
102122	OK	Tulsa	89732.40534	6-9 years	mortgage	1	840	15.82322872	103301.2536	50.50057914	0	1	0	14	8	15	0
102144	IA	Des Moines	94601.25677	2-5 years	mortgage	1	692	23.83868367	126751.8193	68.14947101	0	8	0	1	7	13	0
102149	SD	Rapid City	98711.70406	2-5 years	mortgage	0	586	26.98337911	142276.2802	54.64978365	1	5	7	9	22	22	1
